A1	A2	A3	B1	B2	B3
0.18101632	0.17145521	0.18341943	0.32975902	0.34781101	0.34980996
0.018218	0.02100979	0.02029156	0.07561884	0.09155861	0.08495103
0.0179537	0.01927265	0.01673607	0.00040984	0.00040984	0.00040984
0.17516115	0.1702765	0.17090673	0.1204826	0.12168959	0.13052264
0.8283046	0.86213081	0.83686523	0.68679454	0.74477557	0.74625397
0.00251089	0.00233392	0.00260887	0.10049127	0.0974627	0.10649297
0.58358987	0.5693212	0.58282271	1.01936343	1.06394853	1.05269814
0.07336576	0.07018268	0.07551121	0.01284508	0.01167205	0.01324263
0.08904321	0.08815627	0.09174044	0.0446814	0.04358886	0.04704041
0.24345435	0.24501276	0.25009005	0.12140599	0.12549137	0.12514971
0.09051239	0.08902237	0.08969579	0.22991797	0.22986493	0.24364878
0.17280195	0.17272199	0.17576398	0.06729447	0.0721094	0.07150413
0.02755174	0.02861562	0.03236206	0.00040984	0.00040984	0.00040984
0.21783894	0.2223675	0.23660598	0.13341596	0.13905317	0.13130015
0.32648584	0.34957021	0.32691889	0.31636062	0.32697369	0.31175229
1.22334744	1.13988353	1.21175151	0.40920264	0.4136419	0.43957458
0.06777987	0.06926429	0.07886175	0.01098805	0.0110823	0.01044753
0.02220746	0.02618047	0.02581185	0.01360783	0.01273828	0.0142181
0.0433211	0.04650431	0.04362335	0.00751683	0.00610657	0.00646297
0.0528575	0.05799987	0.06318521	0.0749997	0.07699282	0.07883587
0.01999551	0.02147166	0.01973453	0.025216	0.02357436	0.02432385
0.00113079	0.00119758	0.00113171	0.00040984	0.00040984	0.00040984
0.3122072	0.33605358	0.32742767	0.00078625	0.00044367	0.00040984
0.00422599	0.00317983	0.00561639	0.00040984	0.00040984	0.00040984
0.18470347	0.18236808	0.1935434	0.24177748	0.24299364	0.24130911
0.00083134	0.00074923	0.00094719	0.00170766	0.00160841	0.00146765
0.01982365	0.01866496	0.01832103	0.00040984	0.00040984	0.00048788
0.42269166	0.4237636	0.40520429	0.27886313	0.28247557	0.28960882
0.00038713	0.00038713	0.00038713	0.00040984	0.00040984	0.00040984
0.14216851	0.1385397	0.13976352	0.06064901	0.06337344	0.0619613
0.01219902	0.01255715	0.01158918	2.35052491	2.39226374	2.39067379
0.32960469	0.34569423	0.3570597	0.1971557	0.20160827	0.1986218
0.26653521	0.25471657	0.27862402	0.3690687	0.36935247	0.37276887
0.98290882	1.04682342	0.99969051	1.08874156	1.09206307	1.1708256
0.00147549	0.00124659	0.00148482	0.00040984	0.00040984	0.00040984
0.03867103	0.03896008	0.03970103	0.05980406	0.05085381	0.05506669
0.02160184	0.01583433	0.01862356	0.00043506	0.00040984	0.00055259
0.02946141	0.03057299	0.03106146	0.03042475	0.02948997	0.02878402
0.00040596	0.00086358	0.00130516	0.00104929	0.00152343	0.00142372
0.00038713	0.00038713	0.00038713	0.00040984	0.00040984	0.00040984
0.03474828	0.03019773	0.0357079	0.00040984	0.00040984	0.00040984
0.02257088	0.02189595	0.02070104	0.09348662	0.09806147	0.09090106
0.00038713	0.00038713	0.00038713	0.00040984	0.00040984	0.00040984
0.2090621	0.20614523	0.21276937	0.09700358	0.10510993	0.10806613
0.31688939	0.32529823	0.33261442	0.13836976	0.1381016	0.14402537
0.08099083	0.08859516	0.08367261	0.23543213	0.23518131	0.24186967
0.00792658	0.00613702	0.00833044	1.43237187	1.55124073	1.52239684
0.52512349	0.51681855	0.54363512	0.22181709	0.21550772	0.21856702
7.85276324	7.78930711	8.02909053	10.98884452	11.02572561	11.11354495
50606.60597	50567.94078	50570.89497	57225.45666	60890.63974	64146.96065
1.33083215	1.29432679	1.33808707	1.22120273	1.242758	1.26551267
2.4621278	2.47183999	2.59083135	0.22285458	0.23861371	0.24224733
0.60615322	0.63363328	0.64165189	3.15351163	3.31838924	3.23968396
0.02879063	0.0285456	0.02879847	0.0004356	0.00050547	0.00077988
0.00270507	0.00340115	0.00289423	0.00072542	0.00095136	0.00130146
0.01457939	0.01665516	0.01454156	0.00600058	0.00625395	0.00675092
0.29369971	0.29370667	0.2876982	0.38160794	0.396184	0.38260719
0.00037878	0.00037878	0.00037878	0.00040849	0.00040849	0.00040849
0.00767988	0.00773586	0.00752156	0.00074767	0.00057318	0.00040849
0.00270679	0.00250903	0.00252023	0.01305841	0.01399493	0.01235603
0.39629822	0.3941017	0.38674068	0.61935467	0.60657972	0.61394359
0.44228773	0.45227558	0.45599567	0.00040849	0.00040849	0.00040849
0.16453417	0.15852676	0.16295127	0.00040849	0.00040849	0.00040849
0.14590266	0.15028286	0.15578803	0.00495636	0.00529228	0.00472793
0.00762297	0.00671969	0.00796862	0.01151102	0.01168761	0.01276366
2.64967194	2.64210984	2.66730377	0.00040849	0.0004393	0.00060763
0.00037878	0.00037878	0.00037878	0.00040849	0.00040849	0.00040849
2.09900407	2.18194362	2.42977862	3.23359194	3.00943916	3.39190234
0.04293604	0.03915045	0.03845784	0.00040849	0.03691206	0.02964681
0.17942866	0.17970797	0.20456236	0.52143577	0.54928138	0.59096414
0.81304413	0.84137232	0.88662944	0.00040849	0.00040849	0.00040849
0.59295343	0.5988248	0.6090664	0.08208904	0.08078122	0.08631093
0.00037878	0.00037878	0.00037878	0.00040849	0.00040849	0.00040849
0.9914251	0.99119843	1.01584405	0.95934842	0.97843753	1.04260172
0.07140072	0.07306165	0.06790832	0.06838814	0.07103352	0.07321145
0.08036194	0.08051449	0.08620442	0.03412559	0.03429275	0.03284265
0.01942025	0.02105405	0.02144714	0.0251813	0.02607262	0.02591403
0.02166268	0.02171669	0.02138055	0.00118238	0.00102299	0.00069427
0.00037878	0.00037878	0.00037878	0.00303118	0.00324034	0.00304918
1.04619054	1.04298973	0.94699129	0.20683306	0.19958989	0.20335003
0.02001118	0.01914872	0.01849857	0.00148617	0.00147482	0.00137578
0.61671882	0.61580967	0.63698545	0.20651155	0.21794674	0.21386785
1.14747081	1.22894357	1.15782255	0.01644639	0.01527978	0.01552956
0.18851279	0.19351393	0.1932186	0.4044268	0.41253473	0.40897763
0.02129372	0.02197486	0.02191894	0.06418707	0.06609246	0.05994187
0.01614679	0.01645791	0.01387188	0.0185307	0.01771995	0.01874005
0.16859656	0.17837293	0.1768549	3.04892955	3.12343131	3.07909712
0.26999389	0.28191598	0.28421386	0.49189694	0.48691495	0.49772666
0.63708125	0.60277217	0.59695663	0.49001224	0.52359576	0.50096279
0.7508643	0.76336777	0.76268673	0.27111914	0.27487954	0.2822222
0.43355865	0.43406712	0.45165899	0.33875514	0.32049921	0.32201863
0.04237517	0.0432119	0.0385114	0.00040849	0.00040849	0.00040849
0.51728637	0.4980497	0.50228392	0.5650309	0.57646226	0.61051994
0.00278173	0.00286486	0.00289972	0.00040849	0.00040849	0.00040849
0.74714471	0.72688387	0.74531886	0.7440426	0.76960007	0.73677594
0.00460233	0.00475369	0.00503761	0.00055061	0.00083836	0.00058259
0.49400766	0.51205548	0.50276746	0.16439213	0.15367803	0.16503402
0.16906711	0.17698679	0.17198404	0.19726295	0.19822259	0.19270648
0.68220495	0.71455242	0.76287641	0.62834413	0.65214292	0.67247684
1.23534163	1.18222545	1.22822785	0.72545216	0.74228431	0.78020057
1.15263473	1.20692359	1.22001846	0.00924579	0.00936194	0.01166408
0.18540117	0.17524095	0.18253029	0.06856998	0.06340573	0.06112712
0.5189818	0.53083297	0.49093355	0.10833082	0.10627195	0.12205801
2.77754315	2.83307881	2.94090874	2.20588996	2.29859484	2.27912036
0.4356548	0.44090904	0.43843691	0.20214184	0.20194111	0.21159828
0.10422082	0.10195803	0.10174722	26.32644223	27.55448414	26.33502188
0.53618781	0.51083926	0.54163221	4.19554545	4.40950054	4.50205366
2.17930859	2.22344996	2.32106655	1.77330678	1.72462098	1.78096755
0.09546372	0.09429952	0.09817617	0.44909009	0.44847123	0.43311645
0.11142345	0.10361758	0.1065857	4.37910697	4.50554077	4.47751397
0.00283681	0.00190006	0.00465405	0.0006905	0.00040849	0.00040849
3.78516512	3.91035749	3.88955853	1.92728286	2.00086431	1.83575138
0.01556103	0.01880302	0.01777006	0.92755861	0.89519947	0.92098804
0.00333488	0.00382967	0.00291832	0.00040849	0.00040849	0.00040849
0.02405618	0.02430058	0.02294518	0.01774083	0.01653642	0.01710798
0.07478059	0.0711417	0.06776359	0.57225735	0.6214786	0.58996898
0.00482386	0.00374455	0.00472433	0.15175858	0.1484798	0.16094845
0.22213546	0.23828551	0.24834215	0.00427133	0.00386635	0.00559439
0.00060662	0.00068661	0.00057224	0.10477674	0.10910619	0.11336779
0.03426534	0.03582424	0.03228352	0.02758145	0.02671008	0.02744955
0.14077332	0.1490903	0.13468295	0.00040849	0.00040849	0.00040849
0.4614762	0.49171393	0.50580958	0.08631078	0.08882549	0.08897484
0.29676904	0.28844198	0.2961938	0.25741053	0.24211708	0.26270414
0.0210736	0.02355988	0.02440877	0.01905491	0.02099958	0.02171389
0.03983612	0.04187326	0.03964983	0.08499054	0.08652702	0.08451862
0.00037878	0.00037878	0.00037878	0.00040849	0.00040849	0.00040849
0.00619629	0.00629602	0.00762319	0.00324268	0.00313654	0.0040048
0.00845911	0.00830798	0.00786108	0.01569853	0.01819315	0.01840701
0.18189874	0.1823298	0.18296809	0.17113626	0.1748054	0.17861811
0.0024349	0.00238033	0.00277817	0.00040849	0.00040849	0.00040849
0.06556852	0.06777679	0.06775819	0.00063411	0.00062151	0.00040849
0.00606303	0.00433686	0.00522087	0.06717454	0.06560371	0.06872903
0.00037878	0.00037878	0.00037878	0.00040849	0.00040849	0.00040849
2.49238036	2.40023787	2.40406535	0.07734119	0.07973577	0.07940439
0.00228909	0.00229326	0.00293627	0.11365294	0.10141513	0.10529175
0.58882356	0.57416423	0.58139904	0.61092135	0.62188839	0.59761303
2.26672266	2.37865292	2.36053913	0.67540765	0.68972547	0.73668106
0.80435994	0.81984315	0.7841477	0.30136731	0.33969096	0.32908695
0.36242011	0.37138903	0.37652426	0.12642073	0.14148441	0.14741364
0.30359652	0.31426146	0.31549651	0.30919027	0.31835539	0.33065012
0.12587649	0.11311083	0.1308673	0.64257825	0.63224818	0.62571473
0.64130892	0.61244869	0.64739882	0.19077623	0.18917314	0.19311826
0.51408474	0.53875346	0.53157138	0.46292294	0.44705093	0.46781483
0.00379928	0.0039193	0.00358063	0.01681071	0.01698911	0.01591854
7.83098658	7.87220481	7.84809517	10.75665564	10.91419434	11.21319913
47154.38937	52121.78818	49387.56365	61263.59001	57842.53979	59115.32413
1.25636567	1.23922581	1.27665267	1.27777321	1.23985502	1.27550918
3.7248729	3.69436338	3.66019778	0.09418098	0.08799956	0.08720981
0.54601851	0.56563007	0.52316937	0.00700296	0.00742009	0.00715433
0.37893171	0.39950298	0.38187391	0.25450968	0.24307711	0.24336296
0.00069351	0.00062704	0.00064852	0.00047983	0.00047983	0.00047983
