wt1	wt2	pten1	pten2	rapa1	rapa2	geneName.1	geneName.2	RPKM_pten1	RPKM_pten2	RPKM_rapamycin1	RPKM_rapamycin2
50.93839771	76.05866939	60.94778249	56.56789793	61.08721928	58.72450178	98.34287713	105.4229345	82.64084839	105.1309211	162.2842203	157.2825405
76.58325467	63.85046751	73.54401377	70.00086144	66.15454209	57.40063553	75.76904099	74.49245975	76.09627175	79.07049108	47.07145719	40.86353302
82.60094322	106.0541261	69.51199862	88.17625788	90.43044672	83.23882656	38.64908301	43.28956063	42.58224563	35.24591052	39.42632243	38.70947084
64.41832639	83.28700406	84.64094655	91.95166075	63.90171449	87.30413253	22.11694738	17.23810362	14.39496626	15.15308651	7.406706203	8.330086755
62.18588035	139.064285	175.7773755	134.0679837	152.4718183	97.28476451	38.61041655	50.1445224	32.62965792	34.89222228	30.38220847	35.0259978
16.55965743	16.54244834	16.00568131	14.64035726	14.87666478	9.925778013	38.54566349	44.79211076	37.93629152	30.59786127	26.75653495	29.86948299
80.24045552	54.98217308	65.85056501	52.77913724	61.57754152	96.52394231	28.96663735	30.74998096	18.51214142	11.59273423	15.90652011	14.97020019
42.84515051	55.49832204	38.48918266	40.95181779	37.56986684	22.42033909	219.7474642	197.7684428	228.3458218	198.9385899	146.7047969	144.1352904
64.58896554	57.46073227	78.64471453	78.07085797	40.1139079	60.81580713	66.65596791	55.23736665	55.42334257	46.81117435	36.00930966	41.12380583
95.26973332	125.7530255	124.3495194	114.2975321	323.1913602	241.591281	37.06486978	30.1609271	12.58231476	11.89053926	11.41140637	12.33458765
38.38591056	54.06614435	45.44722778	38.10045393	45.6668709	44.31500612	54.18254035	44.73264367	39.14207347	38.20244401	22.78911679	22.9990544
55.97662887	55.12486663	58.55554896	51.39607458	50.4623075	64.89471478	40.72022385	37.46892066	41.05273515	36.89656826	33.90573325	31.85598418
57.30456812	81.56840498	82.70017957	61.29152238	64.04550949	45.56639813	31.04654042	24.18352526	30.49886518	30.41265988	19.26831432	22.48845558
82.74444335	89.14228178	82.74003178	90.8279432	100.377681	91.48508074	36.44182242	37.72226226	42.37727457	29.45537167	17.35075734	13.8135861
26.18454864	28.8263556	24.70404911	25.70701715	49.68757192	33.03424009	20.06289281	21.07054283	18.47001931	16.22985272	12.25511769	12.34114603
106.3858039	93.84511493	100.8172296	103.4817509	140.3718711	129.4889736	61.98489146	49.06910715	38.81387689	38.59109511	24.81106422	21.68501594
21.52104007	40.32573553	34.3533149	42.38006543	25.6251137	32.91318928	21.9115027	17.0411842	19.87065565	17.6362536	12.43897566	9.687978721
161.6688185	222.3077106	204.7490782	194.1203105	150.8047534	197.5579835	20.55741701	21.45668863	21.72570035	16.83742907	13.15992069	16.36988369
180.2897595	195.9426125	203.3091796	213.2272264	160.1549667	192.4900642	388.3230651	411.7094389	364.4046982	355.7722624	194.0115183	191.5023999
151.4434909	173.9387514	143.2528616	150.1935763	140.7533635	130.1968015	10.90068367	9.023498686	7.660957185	7.68854219	2.59552042	3.284931923
234.2405417	266.4404455	218.0532599	227.4693783	219.2437119	205.3885351	8.060962235	7.631576016	1.732210658	1.602631633	0.983674627	0.796770722
89.72627671	100.9826735	88.40556259	106.2938376	80.44101235	71.68585667	93.59885418	120.7436374	110.1318478	125.5743463	80.77413571	68.91177281
39.5773242	37.80567991	49.79690789	53.41867927	35.64673967	30.13853756	35.60743521	34.84227786	40.3207026	30.9217174	23.04316539	26.04394859
50.84320846	50.26878874	49.84328215	44.77655894	99.4451765	121.7634235	181.126101	174.3322224	190.959872	162.7153018	147.5875144	144.8308528
129.3019724	152.8961343	140.302114	94.79700038	95.52797704	108.6022707	42.67371817	34.50932004	39.01784014	32.95856859	23.55208118	27.40594404
118.0157657	86.35688195	155.2357084	129.5237137	116.1065745	108.9203909	88.5370678	95.31864809	91.44209205	81.824092	42.79455684	49.66372907
79.95659818	98.65798701	81.09317878	70.72716478	89.66690662	111.7604738	125.4733808	132.9097974	122.8209709	132.4989601	89.18886272	106.148745
168.9366415	164.0860974	164.5086832	178.1235752	135.3612081	198.156049	33.35636421	33.69094859	31.40770459	25.82801316	23.12718107	21.15342297
